Name	Klasse	1. Wahl	2. Wahl	3. Wahl	4. Wahl	Relevant	E-Mail
student000	class00	GL04	GL02	GL21	GL03	GL04	no.mail
student003	class00	GL10	GL04	GL08	GL13	GL10	no.mail
student017	class00	GL04	GL06	GL11	GL03	GL04	no.mail
student040	class00	GL12	GL17	GL05	GL21	GL12	no.mail
student061	class00	GL13	GL08	GL21	GL10	GL13	no.mail
student072	class00	GL02	GL20	GL18	GL14	GL02	no.mail
student094	class00	GL04	GL06	GL18	GL03	GL04	no.mail
student142	class00	GL08	GL04	GL06	GL13	GL08	no.mail
student160	class00	GL13	GL08	GL21	GL10	GL13	no.mail
student164	class00	GL14	GL03	GL08	GL12	GL14	no.mail
student171	class00	GL01	GL02	GL04	GL21	GL01	no.mail
student172	class00	GL12	GL17	GL05	GL21	GL12	no.mail
student198	class00	GL08	GL04	GL06	GL13	GL08	no.mail
student200	class00	GL10	GL04	GL08	GL13	GL10	no.mail
student205	class00	GL08	GL04	GL06	GL11	GL08	no.mail
student224	class00	GL04	GL06	GL11	GL03	GL04	no.mail
student239	class00	GL08	GL04	GL06	GL13	GL08	no.mail
student265	class00	GL04	GL08	GL17	GL18	GL04	no.mail
student269	class00	GL14	GL03	GL08	GL12	GL14	no.mail
student275	class00	GL13	GL08	GL21	GL10	GL13	no.mail
student287	class00	GL03	GL21	GL13	GL14	GL03	no.mail
student308	class00	GL08	GL04	GL06	GL11	GL08	no.mail
student001	class01	GL13	GL04	GL06	GL15	GL13	no.mail
student038	class01	GL13	GL04	GL06	GL15	GL13	no.mail
student045	class01	GL03	GL11	GL04	GL08	GL03	no.mail
student120	class01	GL04	GL17	GL06	GL12	GL04	no.mail
student121	class01	GL03	GL08	GL13	GL10	GL03	no.mail
student157	class01	GL01	GL02	GL07	GL04	GL01	no.mail
student188	class01	GL01	GL03	GL06	GL10	GL01	no.mail
student212	class01	GL03	GL13	GL06	GL11	GL03	no.mail
student220	class01	GL03	GL11	GL04	GL08	GL03	no.mail
student222	class01						no.mail
student260	class01	GL11	GL02	GL01	GL03	GL11	no.mail
student272	class01	GL01	GL02	GL07	GL04	GL01	no.mail
student279	class01	GL13	GL04	GL06	GL15	GL13	no.mail
student311	class01	GL03	GL05	GL06	GL14	GL03	no.mail
student319	class01	GL03	GL11	GL04	GL08	GL03	no.mail
student002	class02	GL03	GL06	GL18	GL08	GL03	no.mail
student006	class02	GL08	GL14	GL07	GL21	GL08	no.mail
student018	class02	GL11	GL18	GL13	GL08	GL11	no.mail
student024	class02	GL11	GL18	GL20	GL04	GL11	no.mail
student048	class02	GL12	GL18	GL20	GL04	GL12	no.mail
student055	class02	GL01	GL03	GL21	GL11	GL01	no.mail
student064	class02	GL01	GL03	GL21	GL11	GL01	no.mail
student070	class02	GL12	GL18	GL20	GL04	GL12	no.mail
student095	class02	GL21	GL03	GL14	GL04	GL21	no.mail
student097	class02	GL11	GL13	GL18	GL08	GL11	no.mail
student100	class02	GL13	GL08	GL04	GL21	GL13	no.mail
