Form-Nr.	Name	Klasse	Ausbildungsgang	WP	Typ	1. Wahl	2. Wahl	3. Wahl	4. Wahl	WM	Relevant	Status	Zugewiesen	F.	F. Dat.	Bemerkung A.	Bemerkung S.	Zeit	Optionen	E-Mail
17651	student000	class00	Gym-W	BG	GL	GL16	GL21	GL13	GL03	0	GL16	Anmeldung abgeschlossen		Nein			-	10.11.2025 19:09		no.mail
17397	student002	class00	Gym-W	BG	GL	GL14	GL16	GL10	GL21	0	GL14	Anmeldung abgeschlossen		Nein			-	30.10.2025 14:47		no.mail
17406	student018	class00	Gym-W	BG	GL	GL15	GL07	GL04	GL02	0	GL15	Anmeldung abgeschlossen		Nein			-	30.10.2025 15:45		no.mail
17468	student034	class00	Gym-W	MU	GL	GL21	GL18	GL16	GL17	0	GL21	Anmeldung abgeschlossen		Nein			-	02.11.2025 19:22		no.mail
17404	student054	class00	Gym-W	BG	GL	GL20	GL10	GL01	GL15	0	GL20	Anmeldung abgeschlossen		Nein			-	30.10.2025 15:34		no.mail
17674	student066	class00	Gym-W	BG	GL	GL20	GL10	GL01	GL15	0	GL20	Anmeldung abgeschlossen		Nein			-	11.11.2025 14:00		no.mail
17675	student067	class00	Gym-W	BG	GL	GL07	GL10	GL01	GL13	0	GL07	Anmeldung abgeschlossen		Nein			-	11.11.2025 14:01		no.mail
17399	student083	class00	Gym-W	MU	GL	GL03	GL10	GL16	GL21	0	GL03	Anmeldung abgeschlossen		Nein			-	30.10.2025 14:49		no.mail
17417	student097	class00	Gym-W	BG	GL	GL14	GL16	GL10	GL21	0	GL14	Anmeldung abgeschlossen		Nein			-	30.10.2025 17:31		no.mail
17444	student113	class00	Gym-W	MU	GL	GL21	GL18	GL16	GL17	0	GL21	Anmeldung abgeschlossen		Nein			-	31.10.2025 17:19		no.mail
17403	student148	class00	Gym-W	BG	GL	GL15	GL07	GL04	GL21	0	GL15	Anmeldung abgeschlossen		Nein			-	30.10.2025 15:01		no.mail
17402	student155	class00	Gym-W	BG	GL	GL20	GL10	GL01	GL15	0	GL20	Anmeldung abgeschlossen		Nein			-	30.10.2025 14:56		no.mail
17467	student161	class00	Gym-W	MU	GL	GL16	GL13	GL10	GL06	0	GL16	Anmeldung abgeschlossen		Nein			-	02.11.2025 18:31		no.mail
17706	student166	class00	Gym-W	MU	GL	GL16	GL04	GL10	GL06	0	GL16	Anmeldung abgeschlossen		Nein			-	13.11.2025 07:26		no.mail
17400	student185	class00	Gym-W	BG	GL	GL15	GL07	GL04	GL02	0	GL15	Anmeldung abgeschlossen		Nein			-	30.10.2025 14:55		no.mail
